.,English
quest.name,The Shadow Rune - Act I - A Fat Goblin
EventCampaignRules.text,<b>Campaign Rules</b>\n\nPlease refer to the <i>Road to Legend</i> rule book regarding rules of play.
EventCampaignRules.button1,Confirm
EventEncounter1AllMaptiles.text,"<b>Setup:</b>\n\nSet aside the following tiles for encounter 1:\n\n3, 10, 11, 18, 20, 1 Entrance, 1 Exit, 1 end cap, 1 villager token, 4 search tokens, 2 blue objective tokens, and 4 red objective tokens."
EventEncounter1AllMaptiles.button1,Confirm
EventEncounter1Introduction.text,"<i>Reports of goblins besieging the farmlands north of Arhynn have brought you here, and judging by the smell of smoke in the air, none too soon! You ready your weapons and rush forward.</i>"
EventEncounter1Introduction.button1,Confirm
EventEncounter1PlaceSetupTiles.text,Place 1 Entrance and 11A. Place the heroes on the Entrance.
EventEncounter1PlaceSetupTiles.button1,Confirm
EventPlaceSetupSearchToken11A.text,Place 1 search token on 11A as shown.
EventPlaceSetupSearchToken11A.button1,Confirm
EventSetupEncounter1Complete.text,Setup complete.\n\n<b>Objective</b>: Defeat the Merriods.
EventSetupEncounter1Complete.button1,Confirm
EventDefeatMerriodGroup.text,"After defeating the last Merriod, you notice a blood-spattered man in rough, simple clothes lying on the ground nearby."
EventDefeatMerriodGroup.button1,Confirm
EventPlaceRevealTiles1.text,Place 18A.
EventPlaceRevealTiles1.button1,Confirm
EventPlaceTokenFarmer.text,"Place the villager token on 18A as shown. This is the blood-spattered man.\n\nAs an action, an adjacent hero can talk to him to learn what happened here."
EventPlaceTokenFarmer.button1,Confirm
EventObjective2.text,<b>Objective</b>: Speak with the blood-spattered man.
EventObjective2.button1,Confirm
EventFarmer.text,"<i>""Goblins, they're stealin' everything what isn't nailed down an' burnin' what is! They've got me brother; they've got Frederick!""</i>"
EventFarmer.button1,Continue
EventPlaceRevealTiles2.text,"Place 3A, 20A, 10A, 1 Exit and 1 end cap."
EventPlaceRevealTiles2.button1,Confirm
EventPlaceSearchToken3A.text,Place 2 search tokens on 11A as shown.
EventPlaceSearchToken3A.button1,Confirm
EventPlaceSearchToken20A.text,Place 1 search token on 20A as shown.
EventPlaceSearchToken20A.button1,Confirm
EventPlaceFarm10A.text,Place 2 blue objective tokens on 10A as shown. These are the farm's storage.
EventPlaceFarm10A.button1,Confirm
EventPlaceCrops10A4.text,"Place 4 red objective tokens on 10A as shown. These are bundles of crops.\n\nAs an action, while adjacent to a bundle of crops, any hero may pick it up.\n\nA figure may only carry 1 bundle of crops at a time. If a figure carrying a bundle of crops is defeated, the red objective token is placed in that figures space."
EventPlaceCrops10A4.button1,Confirm
EventPlaceCrops10A3.text,"Place 3 red objective tokens on 10A as shown. These are bundles of crops.\n\nAs an action, while adjacent to a bundle of crops, any hero may pick it up.\n\nA figure may only carry 1 bundle of crops at a time. If a figure carrying a bundle of crops is defeated, the red objective token is placed in that figures space."
EventPlaceCrops10A3.button1,Confirm
EventPlaceCrops10A2.text,"Place 2 red objective tokens on 10A as shown. These are bundles of crops.\n\nAs an action, while adjacent to a bundle of crops, any hero may pick it up.\n\nA figure may only carry 1 bundle of crops at a time. If a figure carrying a bundle of crops is defeated, the red objective token is placed in that figures space."
EventPlaceCrops10A2.button1,Confirm
EventPlaceCrops10A1.text,"Place 1 red objective token on 10A as shown. This is a bundle of crops.\n\nAs an action, while adjacent to a bundle of crops, any hero may pick it up.\n\nA figure may only carry 1 bundle of crops at a time. If a figure carrying a bundle of crops is defeated, the red objective token is placed in that figures space."
EventPlaceCrops10A1.button1,Confirm
EventCropsFlavor4.text,"A group of goblins just arrived at the farmland. They are trying to plunder whatever they can. You'd best save what crops you can, or Arhynn will have a hungry Winter. But what could be making the goblins so voracious?"
EventCropsFlavor4.button1,Confirm
EventCropsFlavor3.text,"A group of goblins recently looted some of the crops on the farmland. They are trying to plunder whatever they can. You'd best save what crops you can, or Arhynn will have a hungry Winter. But what could be making the goblins so voracious?"
EventCropsFlavor3.button1,Confirm
EventCropsFlavor2.text,"A group of goblins already looted half the crops on the farmland. They are trying to plunder whatever they can. You'd best save what crops you can, or Arhynn will have a hungry Winter. But what could be making the goblins so voracious?"
EventCropsFlavor2.button1,Confirm
EventCropsFlavor1.text,"A group has all but completey ransacked the crops on the farmland. They are trying to plunder whatever they can. You'd best save what crops you can, or Arhynn will have a hungry Winter. But what could be making the goblins so voracious?"
EventCropsFlavor1.button1,Confirm
EventObjective3.text,<b>Objective</b>: Save as many bundles of crops as possible.\n\n<i>Optional:</i> Prevent as many goblins as possible from escaping with bundles of crops.
EventObjective3.button1,Confirm
EventPlaceSecretRoom.text,"Place S2B as shown. Then remove the search token on 9B and place the 2 secret room entrance tokens as shown.\nPlace 4 search tokens as shown, one is the unique search token. The players may not know which token the unique token.\nYou may immediately place the hero who performed the search action on the secret room entrance token on S2B."
EventPlaceSecretRoom.button1,Confirm
EventStoreCrops.text,"<i>You store a bundle of crops in the farm's storage, out of reach from the goblins.</i>"
EventStoreCrops.button1,Confirm
EventNoMoraleEncounter1.text,<i>You need to fall back to heal your dire wounds. Unfortunately the goblins use this advantage to plunder any of the remaining crops.\nA short while later you are approached by a single figure.</i>
EventNoMoraleEncounter1.button1,Confirm
EventEndEncounter1.text,"<b>Encounter 1 Ends.</b>\n\n<i>The blood-spattered farmer staggers forward again.\n""Me brother,"" he sobs. ""They came for him, grabbed him an' a bunch more besides.\nHe weren't always a farmer like me, m'lords. Frederick was a Shadow Binder, just like that poor sod got killed in 'is caravan outside Arhynn last week.\nThey was friends! Why is them goblins killin' an' stealin' all me brother's friends?""\n\nClearly, the Overlord is interested in this man. You'd best get lead him to safety.</i>\n\nYou lost {var:CropsLost} bundles of crops and saved {var:CropsSaved} bundles of crops."
EventEndEncounter1.button1,Confirm
EventEndEncounter1NotSpokenToFarmer.text,"<b>Encounter 1 Ends.</b>\n\n<i>A blood-spattered farmer staggers forward.\n""These Goblins stole everything what wasn't nailed down an' burned what was! They've got me brother; they've got Frederick!""\nHe sobs. ""They came for him, grabbed him an' a bunch more besides.\nHe weren't always a farmer like me, m'lords. Frederick was a Shadow Binder, just like that poor sod got killed in 'is caravan outside Arhynn last week.\nThey was friends! Why is them goblins killin' an' stealin' all me brother's friends?""\n\nClearly, the Overlord is interested in this man. You'd best get lead him to safety.</i>\n\nYou lost {var:CropsLost} bundles of crops and saved {var:CropsSaved} bundles of crops."
EventEndEncounter1NotSpokenToFarmer.button1,Confirm
