.,English
quest.name,Castle Daerion
quest.description,My own version of Castle Daerion. Based on the original quest but modified to fit the Road to Legend rules/feel. Not playtested for difficulty balance yet (I was aiming for something more on the hard side) but it should work perfectly mechanically. May contain typos as English is not my first language.
quest.authors,Dakon Blackblade
EventObjective4.text,Setup concluded\n\nObjective: Defeat Sir Alric Farrow.
EventObjective4.button1,Continue
EventObjective1.text,Setup concluded\n\nObjective: Explore the area and light the beacons (Red Objective Tokens)
EventObjective1.button1,Continue
EventDeadlyPerilE2.text,"Deadly Peril: \n\nChoking Mists\n\n The dark magical mists become dense and breathing is almost impossible, the heroes must colective suffer 10{heart} damage (7 {heart} in a 2 players game)"
EventDeadlyPerilE2.button1,Continue
ActivationPalamonAssault1.ability,Gains 1 extra {surge}. If a minon or a master defeats a guard the entire group deals 2 extra {heart} for the remainder of this activation.
ActivationPalamonAssault1.master,{action}Engage closets guard or Sir Palamon if there are no guards adjacent to him.\n{action}Attack closest guard with lowest {heart} or Sir Palamon if there are no guards adjacent to him.\n{action}Attack closest guard with lowest {heart}or Sir Palamon if there are no guards adjacent to him.\n{action}Engage closets hero.\n{action}Attack closest hero with lowest {heart}\n{action}Attack closest hero with lowest {heart}
ActivationPalamonAssault1.minion,{action}Engage closets guard or Sir Palamon if there are no guards adjacent to him.\n{action}Attack closest guard with lowest {heart}\n{action}Attack closest guard with lowest {heart}\n{action}Engage closets hero.\n{action}Attack closest hero with lowest {heart}\n{action}Attack closest hero with lowest {heart}
CustomMonsterSirPalamonEttin.monstername,Ettin
CustomMonsterSirPalamonEttin.info,"Ettins use {surge} in the follwing order\n{surge} + {heart}\nEttins have ""Reach"""
ActivationSirPalamonAssault2.ability,Attacks cause every figure (allies and enemies) adjacent to the target to loose 2{heart}.
ActivationSirPalamonAssault2.master,"{action}Engage Sir Palamon\n{action}Attack Sir Palmon\n{action}Engage a guard adjacent to Sir Palamon\n{action} Use ""throw""\n{action}Engage a hero adjacent to Sir Palamon with lowest {might}\n{action} Use ""throw""\n{action} Engage closest hero\n{action} Attack closest hero"
ActivationSirPalamonAssault2.minion,{action}Engage Sir Palamon\n{action}Attack Sir Palmon\n{action}Engage closest hero with the lowest {heart} remaining\n{action}Attack closest hero with the lowest {heart} remaining
EventOpenDoor1.text,"Place tile 7A (this is the Gatehouse), an extension, a door and a Red Objective Token (beacon) as indicated."
EventOpenDoor1.button1,Continue
EventOpenDoor2.text,"Place tile 4A, an extension, a Red Objective Token and a door as indicated."
EventOpenDoor2.button1,Continue
EventPlaceEntrance.text,"Place tile 3A, an entrance and an end cap as indicated"
EventPlaceEntrance.button1,Continue
EventPlaceHeroes.text,Place the heroes on the entrance
EventPlaceHeroes.button1,Continue
EventPlaceBeacon1.text,"Place the Door as Indicated. Place a Red Objective Token, this is a beacon. Beacons are obstacles and block movement and line of sight. An adjacent hero can spend an {action} to light the beacon. The hero can also try to light the beacon speedly, without spending an {action}, by passing on a {knowledge} or {will} test."
EventPlaceBeacon1.button1,Continue
SpawnIronbound.text,Place the Ironbound group ignoring group limits.
SpawnIronbound.button1,Continue
SpawnSorcerer.text,Spawn the Sorcerer group as indicated.
SpawnSorcerer.button1,Continue
EventPlaceSearch1.text,Place a Search Token as indicated.
EventPlaceSearch1.button1,Continue
EventBanditReinforcement.text,Bandits jump in the Gatehouse taking advantage of the comontion to loot and pilage. Place 1 bandit on any square of the Gatehouse (7A) ignoring group limits.
EventBanditReinforcement.button1,Continue
EventOpenDoor3.text,"Place tile 13A, an exit and a Red Objective Token as indicated."
EventOpenDoor3.button1,Continue
SpawnBandits.text,Spawn the Bandits group ignoring group limits.
SpawnBandits.button1,Continue
EventPlaceSearch2.text,Place the search token as indicated
EventPlaceSearch2.button1,Continue
SpawnWildBeasts.text,Wild creatures jump from the woods nearby and advance on the heroes. Place the monster group as indicated.
SpawnWildBeasts.button1,Continue
EventPlaceSearch34.text,Place the search tokens as indicated
EventPlaceSearch34.button1,Continue
