.,Spanish
quest.name,El castillo Daerion (v1.1)
quest.description,|||Esta aventura es mi versión particular de "El castillo Daerion". Basada en la aventura original pero modificada para ajustarse a las reglas y el estilo de la aplicación "Camino a la leyenda". \n\n La he diseñado para que sea más bien difícil pero mecánicamente debería funcionar sin problemas.|||
quest.authors,"\n Autor: Dakon Blackblade \n\n Traducción al español: Vidimus \n "
EventObjective4.text,"Preparativos completados. \n\n Objetivo: Derrotar a Sir Alric Farrow."
EventObjective4.button1,Continuar
EventObjective1.text,"Preparativos completados. \n\n Objetivo: Explorar la zona y encender las almenaras (fichas de Objetivo rojas)."
EventObjective1.button1,Continuar
EventDeadlyPerilE2.text,"<b>Peligro mortal:</b> \n\n Niebla sofocante \n\n Las oscuras nieblas mágicas se vuelven densas y respirar es casi imposible; los héroes deben sufrir colectivamente 10 {heart} (7 {heart} en una partida a 2 jugadores)."
EventDeadlyPerilE2.button1,Continuar
ActivationPalamonAssault1.ability,Gana +1 {surge}. Si un monstruo común o líder derrota a un miliciano, el grupo de monstruos al completo sufre inmediatamente 2 {heart}.
ActivationPalamonAssault1.master,"{action} Se confronta con el miliciano más cercano o con Sir Palamon si no hay milicianos adyacentes a él. \n {action} Ataca al miliciano más cercano que haya sufrido menos {heart}, o a Sir Palamon si no hay milicianos adyacentes a él. \n {action} Ataca al miliciano más cercano que haya sufrido menos {heart}, o a Sir Palamon si no hay milicianos adyacentes a él. \n {action} Se confronta con el héroe más cercano. \n {action} Ataca al héroe más cercano que haya sufrido menos {heart}. \n {action} Ataca al héroe más cercano que haya sufrido menos {heart}."
ActivationPalamonAssault1.minion,"{action} Se confronta con el miliciano más cercano o con Sir Palamon si no hay milicianos adyacentes a él. \n {action} Ataca al miliciano más cercano que haya sufrido menos {heart}. \n {action} Ataca al miliciano más cercano que haya sufrido menos {heart}. \n {action} Se confronta con el héroe más cercano. \n {action} Ataca al héroe más cercano que haya sufrido menos {heart}. \n {action} Ataca al héroe más cercano que haya sufrido menos {heart}."
CustomMonsterSirPalamonEttin.monstername,Ettin
CustomMonsterSirPalamonEttin.info,|||Los Ettins gastan ± en el siguiente orden: \n ±: +X ≥ \n\n Los Ettins tienen "Gran alcance"|||
ActivationSirPalamonAssault2.ability,Los ataques hacen que cada figura (aliados y enemigos) adyacente al objetivo sufra 2 {heart}.
ActivationSirPalamonAssault2.master,|||{action} Se confronta con Sir Palamon \n {action} Ataca a Sir Palmon \n {action} Se confronta con un miliciano adyacente a Sir Palamon \n {action} Usa "Arrojar" \n {action} Se confronta con un héroe adyacente a Sir Palamon con menos {might} \n {action} Usa "Arrojar" \n {action} Se confronta con el héroe más cercano \n {action} Ataca al héroe más cercano|||
ActivationSirPalamonAssault2.minion,"{action} Se confronta con Sir Palamon \n {action} Ataca a Sir Palmon \n {action} Se confronta con el héroe más cercano al que le quede menos {heart}. \n {action} Ataca al héroe más cercano al que le quede menos {heart}."
EventOpenDoor1.text,Coloca la pieza 7A (es el portón de salida), 1 conector, 1 Puerta y 1 ficha de Objetivo roja (Almenara) como se indica.
EventOpenDoor1.button1,Continuar
EventOpenDoor2.text,Coloca la pieza 4A, 1 conector, 1 ficha de Objetivo roja y 1 Puerta como se indica.
EventOpenDoor2.button1,Continuar
EventPlaceEntrance.text,Coloca la pieza 13A, la Entrada y 1 terminal como se indica.
