.,Spanish
UITxTinicial.uitext,"Miras la foto de la joven Felicia, una chica rubia de grandes ojos marrones, antes de entrar.\nDetrás del mostrador, un hombre bajito señala con un dedo la cortina del fondo. Con mucho cuidado te tambaleas en silencio entre las viejas jaulas de madera y solo la luz de la luna te deja entrever que algunas de ellas están habitadas por extrañas aves de colores. Apartas la cortina y bajas las escaleras hasta a una puerta roja de madera. Llamas 4 veces, esta se abre y algo te bloquea el paso. Tienes que levantar la cabeza para poder apreciar los rasgos orientales del hombre que te registra de arriba abajo. Te invita a seguir adelante, pero cierra la puerta detrás de ti antes de abrir la siguiente. \n\n Necesitas unos segundos para volver a adaptarte a la luz y ver los músicos al fondo tocando un animado Charleston, mientras una pareja joven baila en el centro del pequeño sótano. A tu izquierda, una barra de bar que destaca por su opulencia, te invita a tomarte una copa.\n\n Buscas un espacio entre la multitud y antes de que te des cuenta, el camarero te sirve un Bourbon con dos hielos. Con una sonrisa te señala un caballero sentado en la esquina: \n\n<i>- De parte del Señor Ford. -</i>\n\n Levantas el vaso como muestra de agradecimiento y te diriges hacia él. Avanzas entre la gente. Antes parecían actuar como si no existieras y ahora forman un pasillo hasta tu destino, aunque ni te miran a la cara.\n\n Saludas al Señor Ford con una sonrisa y te dispones a dar el primer sorbo de tu whisky."
UIBottonInicial.uitext,Empezar
UITextFINAL1.uitext,"Al entrar en el bosque la imagen de la mujer se desvanece ante tus ojos, del mismo modo que los arboles, el suelo y el cielo. Por unos momentos todo es oscuridad. Poco a poco eres consciente de todas las partes de tu cuerpo. Mueves los dedos de manos y pies asegurándote que todo sigue en su sitio.\n\nTu cuerpo siente la necesidad de levantarse. Reconoces la suave sensación de la alfombra bajo tus pies y la cálida luz del sol en tu rostro. Abres los ojos lentamente. Estás en tu habitación, llevas el pijama puesto y todo está tranquilo. Ha sido solo una larga y horrible pesadilla. \n\n Abres el periódico durante el desayuno y de entre sus páginas caen plumas de colores. En la página que has abierto llama tu atención una extraña noticia. Han hallado a varias personas que estaban desaparecidas y nadie es capaz de despertarlas. En sus manos han encontrado un puñado de plumas de colores que agarran con fuerza. Reconoces el rostro de Felicia Gordon en las fotos.\n\nHabéis completado la investigación con éxito."
UIButtonEND.uitext,Despertar
UITXTFIN.uitext,- Buenas Noches Soñador. -
UITxtFINAL3.uitext,"La imagen del sr. Ford se desvanece ante tus ojos, del mismo modo que el bosque, la casa, el suelo y el cielo. Por unos momentos todo es oscuridad. Poco a poco eres consciente de todas las partes de tu cuerpo. Mueves los dedos de manos y pies asegurándote que todo sigue en su sitio.\n\nTu cuerpo siente la necesidad de levantarse. Reconoces la suave sensación de la alfombra bajo tus pies y la cálida luz del sol en tu rostro. Abres los ojos lentamente. Estás en tu habitación, llevas el pijama puesto y todo está tranquilo. Ha sido solo una larga y horrible pesadilla. \n\nAbres el periódico durante el desayuno y de entre sus páginas caen plumas de colores. En la página que has abierto llama tu atención una extraña noticia. Han hallado a varias personas que estaban desaparecidas y nadie es capaz de despertarlas. En sus manos han encontrado un puñado de plumas de colores que agarran con fuerza. Reconoces el rostro de Felicia Gordon y de tus compañeros de investigación en las fotos. \n\nSolo los que hayan despertado han completado la investigación con éxito."
UITxtFINAL2.uitext,Sigues a la mujer y entras en el bosque. De repente los arboles empiezan a desvanecerse del mismo modo que el suelo y el cielo. Por unos momentos todo es oscuridad. Poco a poco eres consciente de todas las partes de tu cuerpo. Mueves los dedos de manos y pies asegurándote que todo sigue en su sitio.\n\nOs despertáis en una pequeña habitación poco iluminada. Sólo la luz de la mesita de noche y el escritorio os dejan ver que las paredes están llenas de cuadros de rostros desconocidos que parecen seguiros con la mirada.\n\n Elimina todos los módulos del tablero. Coloca el módulo Dormitorio 1 {MAD20} y una ficha de pared en el lugar señalado. Cada investigador gana una Pista {clue}.\n\nNo habéis completado la investigación con éxito.
UIButtonFIN2.uitext,Despertar
UITextoGameOver.uitext,"Las paredes se desvanecen ante tus ojos, del mismo modo que el suelo y el techo. Por unos momentos todo es oscuridad. Abres los ojos y la figura de un hombre con traje y el rostro en la oscuridad aparece ante ti.\n\n<i>-Buenas noches, Pajaritos. ¿os apetece un whisky? Aunque parece que aún no os lo habéis ganado- </i>\n\nAvanza un paso para dejar su rostro a la vista. El señor Ford os sonríe y en su mano aparece un vaso lleno con dos hielos y le da un sorbo. \n\n<i>-¡Me encanta tener invitados! ¡Y si son cómo vosotros, nunca me aburro!-</i>. \n\nAvanza desafiante hacia vosotros mientras os examina \n\n<i>- A ver si la próxima vez lo hacéis un poco mejor.-</i>\n\nNo habéis completado la investigación."
quest.name,En la pajarería a las 22.30h
