.,Spanish
quest.name,Material Exótico
quest.description,Material Exótico
EventStart.text,"Una coleccionista de metales extraños siguió el rastro de un meteorito caido cerca de la aldea de Rowley.\n\nTras una visita donde los lugareños se negaron a colaborar y se comportaban de forma inquietante, decidió encargaros a vosotros la tarea de encontrar y recuperar el meteorito.\n\nLlegais a Rowley por la mañana y dedicais el dia entero a preguntar a los lugareños. Aunque no conseguís ninguna información al respecto."
CONTINUE,Continuar
EventAddSquare.text,Coloca los módulos {ffg:TILE_TOWN_SQUARE_MAD20} y {ffg:TILE_STOREFRONT_MAD20} en los lugares señalados. Cada investigador obtiene 2 pistas.
EventGetItem1.text,Obtienes el Objeto Común: {c:QItemWeapon}.
EventGetItem2.text,"Obtienes el Objeto Común: {c:QItemLight}, Obtienes 1 pista."
EventGetItem3.text,Obtienes el Objeto Común: {c:QItemEquip}.
EventGetItem4.text,Obtienes el Objeto Común: {c:QItemEquip2}.
EventGetItem5.text,"Obtienes el Objeto Común: {c:QItemEquipLight}, Obtienes 1 pista."
EventGetItem6.text,Obtienes el Objeto Común: {c:QItemWeapon2}.
EventGetItem7.text,<i>Encuentras un viejo libro.</i> Lo examinas ({lore}).
EventGetSpell.text,Recibes el Hechizo: {c:QItemSpell}.
ATTACK,Atacar
EXPLORE,{action} Explorar
FAIL,Fallo
HIDDEN,Oculto
PASS,Conseguido
PLACE1WALLTOKEN,Coloca una ficha de pared en el lugar señalado.
SEARCH,{action} Buscar
THEEND,Fin
EventAddShopSearch.text,<i>Al tendero no le importará si echas un vistazo...</i>\n\nColoca una ficha de Búsqueda en el lugar señalado.
EventAddSearchStreet.text,<i>Varios objetos se amontonan en las esquinas de este oscuro callejón.</i>\n\nColoca una ficha de Búsqueda en el lugar señalado.
EventAddWarehouseSearch.text,<i>Este contenedor puede que contenga algo útil.</i>\n\nColoca una ficha de Búsqueda en el lugar señalado.
EventAddBasementSearch.text,<i>Hay una caja abierta en el suelo.</i>\n\nColoca una ficha de Búsqueda en el lugar señalado.
EventAddCellarSearch.text,<i>Varios objetos ocupan la estantería.</i>\n\nColoca una ficha de Búsqueda en el lugar señalado.
EventAddSearchYard.text,<i>Algo en los arbustos refleja la luz de una lámpara cercana.</i>\n\nColoca una ficha de Búsqueda en el lugar señalado.
EventMoveIn.text,Tienes la oportunidad de moverte 1 espacio hacia la zona explorada.
PuzzleLock.button1,Abrir
TokenExploreWarehouse.text,<i>La puerta lleva a un almacén pero tiene un candado de combinación. La música parece venir del otro lado de este edificio.</i>
TokenExploreWarehouse.button1,{action} Abrir
EventJammedDoor.text,<i>La puerta parece atascada ({strength}).</i>
EventJammedDoorFail.text,<i>La puerta no se mueve.</i>
TokenExplorePond.text,"<i>La puerta lleva de nuevo a la superficie, ahora el sonido está muy cerca.</i>"
TokenSearchYard.text,<i>Algo en los arbustos refleja la luz de una lámpara cercana.</i>
TokenSearchSquare.text,<i>El viento ha atraido hasta esta esquina un pequeño monton de basura.</i>
TokenSearchShop.text,<i>Al tendero no le importará si echas un vistazo...</i>
TokenSearchWarehouse.text,<i>Este contenedor puede que contenga algo útil.</i>
TokenSearchBasement.text,<i>Hay una caja abierta en el suelo.</i>
TokenSearchCellar.text,<i>Varios objetos ocupan la estantería.</i>
EventRock.text,<i>Coges el objeto. Es ligero como una pluma.</i>\n\nColoca una ficha de Interacción en la ficha del investigador. El investigador puede gastar una Accion ({action}) para darle el marcador a otro investigador en su espacio.
EventRockBonusFocus.text,<i>Tus objetivos son ahora mas claros de lo que nunca antes habias experimentado.</i>\n\nEl investigador con el Marcador de Interacción adquiere el estado Concentrado.
