.,English,Spanish,French,German,Italian,Portuguese,Polish,Japanese,Chinese,Czech
quest.name,Exotic Material,Material Exótico,,,,,,,,
quest.description,Exotic Material,Material Exótico,,,,,,,,
EventSearchShop.text,Hidden,Oculto,,,,,,,,
EventSearchShop.button1,{qst:CONTINUE},,,,,,,,,
CONTINUE,Continue,Continuar,,,,,,,,
EventAddShopSearch.text,<i>The shop keeper wouldn't mind if you look around...</i>\n\nPlace a Search Token as shown.,<i>Al tendero no le importará si echas un vistazo...</i>\n\nColoca una ficha de Búsqueda en el lugar señalado.,,,,,,,,
EventAddShopSearch.button1,{qst:CONTINUE},,,,,,,,,
EventAddSearchStreet.text,<i>Numerous objects lie in the dark corners of this alley.</i>\n\nPlace a Search Token as shown.,<i>Varios objetos se amontonan en las esquinas de este oscuro callejón.</i>\n\nColoca una ficha de Búsqueda en el lugar señalado.,,,,,,,,
EventAddSearchStreet.button1,{qst:CONTINUE},,,,,,,,,
EventAddWarehouseSearch.text,<i>This crate may contain something usefull.</i>\n\nPlace a Search Token as shown.,<i>Este contenedor puede que contenga algo útil.</i>\n\nColoca una ficha de Búsqueda en el lugar señalado.,,,,,,,,
EventAddWarehouseSearch.button1,{qst:CONTINUE},,,,,,,,,
EventAddBasementSearch.text,<i>A box on the floor has been opened.</i>\n\nPlace a Search Token as shown.,<i>Hay una caja abierta en el suelo.</i>\n\nColoca una ficha de Búsqueda en el lugar señalado.,,,,,,,,
EventAddBasementSearch.button1,{qst:CONTINUE},,,,,,,,,
EventAddCellarSearch.text,<i>Various items fill this shelf.</i>\n\nPlace a Search Token as shown.,<i>Varios objetos ocupan la estantería.</i>\n\nColoca una ficha de Búsqueda en el lugar señalado.,,,,,,,,
EventAddCellarSearch.button1,{qst:CONTINUE},,,,,,,,,
EventAddSearchYard.text,<i>The light from a nearby lamp reflects off something in this bush.</i>\n\nPlace a Search Token as shown.,<i>Algo en los arbustos refleja la luz de una lámpara cercana.</i>\n\nColoca una ficha de Búsqueda en el lugar señalado.,,,,,,,,
EventAddSearchYard.button1,{qst:CONTINUE},,,,,,,,,
EventMoveIn.button1,{qst:CONTINUE},,,,,,,,,
EventMoveIn.text,You may move 1 space into the explored area.,Tienes la oportunidad de moverte 1 espacio hacia la zona explorada.,,,,,,,,
PuzzleLock.button1,Open,Abrir,,,,,,,,
