.,English
UIIntroText.uitext,"After a long day on the beat, you find yourself able to take a break at your desk to catch up on some overdue reports. While you are working through the stack your phone begins to ring.\n\nOn the other end a woman speaks in hushed tones… almost in a whisper. <i>Hello. I know that it’s getting late but is there any way you can come help me? My name is Othera Gilman and my fiancé’s recent actions are starting to worry me.</i>\n\nBeing so close to the end of the day you think about putting it off until tomorrow, but something about the urgency in her voice makes you decide that it would probably be better to help immediately.\n\nYou jot down the address and let her know when you plan to arrive.\n"
UIContinueIntro.uitext,Continue
UIIntroText2.uitext,You drive to the outskirts of town where the fog is coalescing around an old-looking mansion. As you drive closer it begins to rain -- a dismal greeting to your arrival. You park your car and make a mad dash for the front door before you are soaked to the bone.
UIContinueIntro2.uitext,Continue
UIAct2Intro.uitext,"Sitting at an ornate table you go over everything with Othera. Together you ponder the purpose of the manuscript and other ritualistic items.\n\nOthera, looking more troubled than ever, voices her concerns. \n\n<i>There must be more going on. I will get Bobby to drive me into town to visit our friends for dinner. While we’re gone please see if you can get to the bottom of this. Please wait in this room until we’re gone.</i>\n"
UIAct2Continue.uitext,Continue
UIInterloperEndGood.uitext,"With that last strike the Interloper falls to the ground with a sickening thud. As the life flows out of the demon’s corpse it begins to swirl around the body, disolving it to ash. With a sudden pop the energy flares out wildly before vanishing into nothing."
UIInterloperGoodContinue.uitext,Continue
UIGoodbyeText.uitext,"As the sun begins to rise, washing away some of the terror, the magick around the house begins to wane. Knowing that Bobby will no longer be able to stay in this existence, the couple tearfully begins their final goodbyes.\n\nNot wanting to intrude upon what little time they have left you leave silently to compose your reports of what happened here. You doubt that you will get anyone at the police station to believe it, but then you’ve become accustomed to the unexplained being brushed off.\n"
UIEndGame.uitext,Continue
UIDeadFinalText.uitext,"After one of your own falls to the darkness you feel it sap your morale. You choose to flee before anyone else is taken from you, hoping that things will resolve themselves.\n\nA few days later while hiding in your flat from everyone around you, you stand up to get something from the medicine cabinet for your aches and pains. When the cabinet closes you see something watching you from the mirror, as if replacing your reflection. The glass buckles and wraps around you, slicing your battered body past the point of no return.\n\nGame Over\n"
UIDeathByInterloper.uitext,"The strange creature looks at you from across the room, sitting on the corpse of one of your fellow investigators. It promises that this is just a taste of things to come.\n\nYou escape into the night before you are next. Later at home you wake from a terrible nightmare. Was it all a dream? You find that answer almost faster than you asked it as the darkness rushes toward you to swallow your fire.\n\nGame Over\n"
