.,English
quest.name,The Fall of House Lynch
quest.description,Conversion of the Mansions Of Madness first edition scenario.
PuzzleGuestStorage.button1,{qst:CONTINUE}
PuzzlePuzzlebox.button1,{qst:CONTINUE}
PuzzleSuitcase.button1,{qst:CONTINUE}
PuzzleFrontDoor.button1,{qst:CONTINUE}
PuzzlePowerFailure.button1,{qst:CONTINUE}
ACTIONSEARCH,{action} Search
ACTIONEXPLORE,{action} Explore
CONTINUE,Continue
FORFEIT,Forfeit
NO,No
PLACE1BARRICADE,Place 1 barricade as shown.
PLACE1EXPLORETOKEN,Place one Explore Token as shown.
PLACE2EXPLORETOKEN,Place 2 Explore Tokens as shown.
PLACE4EXPLORETOKEN,Place 4 Explore Tokens as shown.
PLACE2SEARCHTOKEN,Place 2 Search Tokens as shown.
PLACE3SEARCHTOKEN,Place 3 Search Tokens as shown.
PLACE1WALLTOKEN,Place 1 Wall Token as shown.
PLACEWALLTOKEN,Place the Wall Tokens as shown.
THEEND,The End
UNABLETOATTACK,Unable to Attack
UNLOCK,Unlock
WALTERLYNCH,Walter Lynch
YES,Yes
TokenCeremonyBarred.text,<i>This door leads further under the house.</i>
TokenCeremonyBarred.button1,{qst:ACTIONEXPLORE}
TokenBasement2A.text,<i>Strange vials lie on the bench</i>
TokenBasement2A.button1,{qst:ACTIONSEARCH}
TokenBasement2B.text,{qst:TokenBasement2A.text}
TokenBasement2B.button1,{qst:ACTIONSEARCH}
TokenBasementDoor2A.text,<i>A door lies at the foot of the stairs.</i>
TokenBasementDoor2A.button1,{qst:ACTIONEXPLORE}
TokenBasementDoor2ALocked.text,<i>The door leading into this room is sealed with a lock that will only open if you have the correct sigil.</i>\n\nThis token can only be explored by an investigator with the Cult Sigil.
TokenBasementDoor2ALocked.button1,{qst:ACTIONEXPLORE}
TokenBasementDoor2B.text,{qst:TokenBasementDoor2A.text}
TokenBasementDoor2B.button1,{qst:ACTIONEXPLORE}
TokenGuest3A.text,<i>The drawers may hold something of interest.</i>
TokenGuest3A.button1,{qst:ACTIONSEARCH}
TokenGuest3B.text,{qst:TokenGuest3A.text}
TokenGuest3B.button1,{qst:ACTIONSEARCH}
TokenGuestDoor3A.text,<i>This door leads to the guest bedroom.</i>
TokenGuestDoor3A.button1,{qst:ACTIONEXPLORE}
TokenGuestDoor3B.text,{qst:TokenGuestDoor3A.text}
TokenGuestDoor3B.button1,{qst:ACTIONEXPLORE}
TokenGuestDoor3BLocked.text,<i>This locked door leads to the guest bedroom</i>\n\nThis token can be explored by an investigator with the Silver Key.
TokenGuestDoor3BLocked.button1,{qst:ACTIONEXPLORE}
TokenStorage3A.text,<i>One of the boxes has strange markings.</i>
TokenStorage3A.button1,{qst:ACTIONSEARCH}
TokenStorage3B.text,{qst:TokenStorage3A.text}
TokenStorage3B.button1,{qst:ACTIONSEARCH}
TokenStorageDoor.text,<i>This door leads to the storage room.</i>
TokenStorageDoor.button1,{qst:ACTIONEXPLORE}
TokenMaster3A.text,<i>The drawers may hold something of interest.</i>
TokenMaster3A.button1,{qst:ACTIONSEARCH}
TokenMaster3B.text,<i>You notice a suitcase behind the chair.</i>
TokenMaster3B.button1,{qst:ACTIONSEARCH}
TokenMasterDoor3A.text,<i>This door leads to the master bedroom.</i>
TokenMasterDoor3A.button1,{qst:ACTIONEXPLORE}
TokenMasterDoor3ALocked.text,"<i>This door leads to the master bedroom, it can be explored by an investigator with the silver key.</i>"
TokenMasterDoor3ALocked.button1,{qst:ACTIONEXPLORE}
TokenMasterDoor3B.text,{qst:TokenMasterDoor3A.text}
TokenMasterDoor3B.button1,{qst:ACTIONEXPLORE}
TokenKitchen3A.text,<i>Something sinister lies on the table.</i>
TokenKitchen3A.button1,{qst:ACTIONSEARCH}
TokenKitchen3B.text,<i>The kitchen cupboard door has been left ajar.</i>
TokenKitchen3B.button1,{qst:ACTIONSEARCH}
TokenFreezer3A.text,<i>Ice from the cool box is slowly melting and dripping on to the floor</i>
TokenFreezer3A.button1,{qst:ACTIONSEARCH}
TokenFreezer3B.text,{qst:TokenFreezer3A.text}
TokenFreezer3B.button1,{qst:ACTIONSEARCH}
TokenOperating3A.text,<i>This room appears to have been a venue for dark deeds.</i>
TokenOperating3A.button1,{qst:ACTIONSEARCH}
TokenOperating3B.text,{qst:TokenOperating3A.text}
TokenOperating3B.button1,{qst:ACTIONSEARCH}
TokenGarden2A.text,<i>Something is proped up against the wall.</i>
TokenGarden2A.button1,{qst:ACTIONSEARCH}
TokenGarden2B.text,<i>The ground has been disturbed here.</i>
TokenGarden2B.button1,{qst:ACTIONSEARCH}
TokenGardenDoor2A.text,<i>This door leads out to the garden.</i>
TokenGardenDoor2A.button1,{qst:ACTIONEXPLORE}
TokenGardenDoor2B.text,{qst:TokenGardenDoor2A.text}
TokenGardenDoor2B.button1,{qst:ACTIONEXPLORE}
TokenGardenDoor2BLocked.text,<i>The door leading out to the Garden is sealed with a lock that will only open if you have the correct sigil.</i>\n\nThis token can be explored by an investigator with the Cult Sigil.
TokenGardenDoor2BLocked.button1,{qst:ACTIONEXPLORE}
EventNo1E.text,"You have not selected Mansions of Madness First Edition in the content selection.\n\nThis scenario does not yet have a pure second editon version, substitute tiles will be required."
EventNo1E.button1,{qst:CONTINUE}
