.,French
UIBegin.uitext,{qst:Continuer}
Continuer,Continuer
UIText1.uitext,"Le bureau est rempli d'une épaisse fumée de cigarette. Des rangées de classeurs sont alignées le long du mur, et une pile de journaux dépasse sous un bureau en bois bon marché. Un homme chauve, grassouillet et nerveux, est assis derrière.\n\n""Il était temps que vous arriviez,"" dit-il, en tapotant ses doigts sur le bureau.  ""Le temps c'est de l'argent et nous sommes en train d'en perdre énormément.""\n\n""J'ai besoin de vous pour retrouver notre partenaire commercial.""\nIl fait glisser une chemise cartonnée.  ""Notre homme disparu s'appelle Walter Lynch.  Il a toujours été le cerveau de cette boite, et sans lui, c'est un fiasco.  Il ne répond plus à nos courriers, et toute investigation a été..."" il marque une pause, pour bien choisir ses mots, ""infructueuse.""\n\nIl porte son regard sur le dossier.  ""Vous avez tout ce que nous savons. Ramenez-le, il y a plus en jeu que vous ne pouvez l'imaginer."
UIContinuer1.uitext,{qst:Continuer}
UIText2.uitext,"Plus tard, dans votre voiture, vous ouvrez délicatement le dossier poussiéreux. Vous trouvez une carte rudimentaire indiquant la direction d'une demeure à l'extérieur d'Arkham dans le Massachusetts.  Le schéma est simpliste, comme un esquisse faite de la main d'un enfant.  Derrière la carte, la note déchirée d'un journal:\n\n""8 Juin 1918 : Cela fait presque un an que la maladie s'est emparée de mon fils.  Les médecins étaient déconcertés de la voir décomposer sa chair.  Je suis un homme d'action et ne pouvais attendre, sans rien faire, de voir se dégrader l'état de mon héritier.\nJ'ai passé neuf mois à parcourir le globe. Pour trouver un remède. Des profondeurs de la jungle à la sagesse de l'Orient, je n'ai rien trouvé. J'ai continué à chercher, encore et encore, dans les endroits les plus reculés de ce monde et au-delà. J'ai rencontré de nombreux mystères et vu nombre d'horreurs, mais le remède m'échappait toujours.\n\nJe ne savais pas qu'il était déjà trop tard.  De retour à la maison, mon fils était parti, sans son père pour l'accompagner.\n\nJ'ai rejoint ma femme Edith, résolu à rester auprès d'elle pour de bon.  Nous étions affligés.  La vie est peu à peu revenue à la normale et j'ai pu reprendre le travail.  J'ai monté une nouvelle affaire et construit ma fortune, pendant que mon âme végétait.\n\nLe deuil n'était pas facile, mais aider à atténuer la peine d'Edith m'a permis de camoufler ma propre souffrance."""
UIText3.uitext,"Une autre note plus courte se trouve au dos.\n\n""21 Janvier 1919 : Comment cela-t-il pu arriver?  Pourquoi est-ce arrivé?\n\nVous essayez de vous protéger.  Vous essayez de protéger votre famille, mais rien n'y fait.\n\nOh Edith, tu es tout ce que j'ai.  Comment cela-t-il pu t'arriver?\n\nJe DOIS fouiller encore plus.  Je retournerai toutes les pierres que je n'osais toucher, une à une.  Je TROUVERAI des réponses!"""
UIContinuer2.uitext,{qst:Continuer}
quest.name,La Chute de la Maison Lynch
quest.description,"Il s'agit d'une conversion du scénario des Demeures de l'épouvante 1ère Édition.\n\nVous avez été engagé pour enquêter sur Walter Lynch.  Un homme d'importance qui est progressivement devenu incontrôlable. Quelles sombres horreurs a-t-il découvertes?  Serez-vous capable de découvrir la vérité, ou bien serez-vous juste un pion dans une machination qui vous dépasse?\n\nNotez qu'aucune preuve n'est contenue dans ce scénario, ainsi les états Folie référant à des preuves ne doivent pas être utilisés."
EventInvestigators.text,Placez les investigateurs sur l'emplacement indiqué.  Chaque investigateur reçoit 2 jetons Indice.
EventInvestigators.button1,{qst:Continuer}
EventFoyerExploreTokens.text,{qst:PLACE4EXPLORETOKEN}
PLACE4EXPLORETOKEN,Placez 4 jetons Exploration comme indiqué.
EventFoyerExploreTokens.button1,{qst:Continuer}
EventPrologue3A.text,En posant le pied dans la maison vide, vous sentez une légère odeur de repas brûlé.  Peut-être quelqu'un a-t-il oublié d'éteindre la cuisinière?
EventPrologue3A.button1,{qst:Continuer}
UIBegin.button1,Button1
EventGetElderSign3B.text,{qst:EventGetElderSign3A.text}
EventGetElderSign3A.text,Récupérez l'Objet Commun: {c:QItemPendant}.
EventGetExtinguisher.text,Récupérez l'Objet Commun: {c:QItemExtinguisher}.
EventGetShotgun3B.text,{qst:EventGetShotgun3A.text}
EventGetShotgun3A.text,Récupérez l'Objet Commun: {c:QItemShotgun}.
EventClue3B.text,"<i>Les restes sanglants d'un homme reposent sur la table d'opération.  Des instruments rouillés et des outils rudimentaires sont disposés autour de lui.\nL'homme écorché murmure, horrifié, d'une bouche sans lèvre. ""Oh Seigneur, il voulait ma chair...""\nDans un dernier souffle, il chuchote""Il m'a laissé passer la nuit..."" et il vous tend une clé.</i>\n\nRécupérez l'Objet Unique: {c:QItemSilverKey}."
