.,German
quest.name,Der Fall des Hauses Lynch
quest.description,Konvertierung des Szenarios der ersten Edition von Villen des Wahnsinns.
EventGetElderSign3A.text,Nimm den Gegenstand: Ältestes-Zeichen-Anhänger
EventGetExtinguisher.text,Nimm den Gegenstand: Feuerlöscher und erhalte einen Hinweismarker.
EventGetShotgun3A.text,Nimm den Gegenstand: Schrotflinte
EventClue3B.text,"<i>Die blutigen Überreste eines Männerkörpers liegen auf dem Operationstisch. Verrostetes Operationsbesteck und primitive Werkzeuge liegen um ihn herum.\nDer hautlose Mann flüstert dir ängstlich mit seinem lippenlosen Mund zu. ""Oh Gott, er wollte mein Fleisch...""\nDann murmelt er mit letztem Atem, ""Er bot mir ein Zimmer zur Übernachtung an..."" und gibt euch einen Schlüssel.</i>\n\nNimm den besonderen Gegenstand: Silberner Schlüssel"
EventClue2B.text,"<i>Deine Sicht verschwimmt, du wirst ohnmächtig und fällst zu Boden, als du plötzlich eine Vision hast. Ein Mann pfeift fröhlich daher, während er den leblosen Körper einer Frau hinter sich her, über den Flur zieht. Dir fröstelt es, als du mitansehen musst, dass er die Leiche im Regen durch eine Matschpfütze zieht. Du kannst noch sehen, wie er ihren Kopf zuschaufelt, als die Vision endet.</i>\n\nErhalte den besonderen Gegenstand: Kultsiegel"
EventClue3A.text,"<i>Der Raum ist leer, mit Außnahme der verbrannten Umrisse eines Meschen auf dem Küchentisch. Bei näherer Betrachtung findest du einen Silbernen Schlüssel in den rußigen Überresten.\nSchwarze Fußspuren führen die Foyertreppen hinauf und weiter rechts den Flur entlang. Erhalte den besonderen Gegenstand: Silberner Schlüssel</i>"
EventGetLantern.text,Nimm den Gegenstand: Keronsinlampe
EventClue2A.text,"<i>Du findest einen Tagebucheintrag, datiert auf den 5. Juli 1918.\n""Der Zustand meine Frau hat begonnen sich zu verschlechtern. Da ich weiß, dass es für sie nur eine Frage der Zeit ist, habe ich einen Ort für sie und die anderen Leichen tief in der Erde vorbereitet.""</i>\n\nErhalte einen Hinweismarker und den besonderen Gegenstand: Kultsiegel"
EventGetItem5.text,Nimm den Gegenstand: Kerosinlampe
EventGetAxe.text,Nimm den Gegenstand: Axt
EventGetItem4.text,Nimm den Gegenstand: Axt
EventGetHeal.text,Erhalte Zauber: Vertrocknen.
EventGetItem2.text,Nimm den Gegenstand: Whisky
EventGetItem1.text,Nimm den Gegenstand: Beruhigungsmittel
ACTIONSEARCH,{action} Durchsuchen
ACTIONEXPLORE,{action} Erkunden
CONTINUE,Weiter
FORFEIT,Aufgeben
NO,Nein
PLACE1BARRICADE,"Platziere einen Barrikadenmarker, wie gezeigt."
PLACE1EXPLORETOKEN,"Platziere einen Erkundungsmarker, wie gezeigt."
PLACE2EXPLORETOKEN,"Platziere zwei Erkundungsmarker, wie gezeigt."
PLACE4EXPLORETOKEN,"Platziere vier Erkundungsmarker, wie gezeigt."
PLACE2SEARCHTOKEN,"Platziere zwei Durchsuchungsmarker, wie gezeigt."
PLACE3SEARCHTOKEN,"Platziere drei Durchsuchungsmarker, wie gezeigt."
PLACE1WALLTOKEN,"Platziere einen Wandmarker, wie gezeigt."
PLACEWALLTOKEN,"Platziere die Wandmarker, wie gezeigt."
THEEND,Ende
UNABLETOATTACK,Angriff nicht möglich
UNLOCK,Aufschließen
YES,Ja
TokenCeremonyBarred.text,<i>Diese Tür führt tiefer unter das Haus.</i>
TokenBasement2A.text,<i>Seltsame Fläschchen stehen auf einer Bank</i>
TokenBasementDoor2A.text,<i>Am Fuße der Treppe befindet sich eine Tür.</i>
TokenBasementDoor2ALocked.text,"<i>Die Tür des Zimmers ist verschlossen. Das Schloss lässt sich nur öffnen, wenn man das richtige Siegel besitzt.</i>\n\nDer Marker kann nur von einem Ermittler erkundet werden, welcher den Gegenstand Kultsiegel besitzt."
TokenGuest3A.text,<i>Die Schränke könnten etwas Interessantes enthalten.</i>
TokenGuestDoor3A.text,<i>Diese Tür führt ins Gästezimmer.</i>
TokenGuestDoor3BLocked.text,<i>Diese Tür führt ins Gästezimmer.</i>\n\nDieser Marker kann nur von einem Ermittler mit dem Gegenstand Silberner Schlüssel erkundet werden.
TokenStorage3A.text,<i>Eine der Kisten hat seltsame Markierungen.</i>
TokenStorageDoor.text,<i>Diese Tür führt in den Lagerraum.</i>
TokenMaster3A.text,<i>Die Schränke könnten etwas Interessantes enthalten.</i>
TokenMaster3B.text,<i>Hinter dem Stuhl siehst du einen Koffer.</i>
TokenMasterDoor3A.text,<i>Diese Tür führt zum Schlafzimmer.</i>
