.,Italian
CONTINUE,Continua
UIText1.uitext,"L'ufficio è saturo di fumo di sigaretta.  Schedari pieni sono allineati lungo la parete e una pila di riviste sporge da sotto la gamba di una scrivania di legno economica.  Dietro la scrivania vi è un uomo grasso e calvo, palesemente nervoso.\n\n""Dovevi essere qui tempo fa,"" dice tamburellando le dita sulla scrivania.  ""Il tempo è denaro e noi lo stiamo perdendo.""\n\n""Ho bisogno del tuo aiuto per trovare il nostro partner in affari scomparso.""\nTi lancia una cartella portadocumenti sporca e malconcia.  ""Il nostro uomo scomparso si chiama Walter Lynch. E' sempre stato il cervello di questa operazione e senza di lui questa impresa commerciale sarà un fallimento. Non ha risposto alle lettere, e tutte le altre indagini sono state ..."" fa una pausa, scegliendo attentamente le sue prossime parole, ""infruttuose.""\n\nLancia un'occhiata alla cartella.  ""Disponi di tutto ciò che sappiamo.  Riportalo in dietro sano e salvo, c'è in gioco più di quanto tu possa immaginare."
UIContinue1.uitext,{qst:CONTINUE}
UIText2.uitext,"Più tardi, nella tua auto, apri attentamente la logora busta.  Trovi una grezza mappa con le indicazioni per raggiungere una villa poco fuori Arkham, Massachusetts.  Il disegno è primitivo, come se fosse stato abbozzato da un bambino.  Dietro la mappa si trova la pagina strappata di un diario:\n\n""8 Giugno, 1918: E' passato quasi un anno da quando mio figlio si è ammalato. I medici non sanno cosa fare, mentre la sua carne viene lentamente consumata.  Sono un uomo di azione e non posso starmene seduto ad aspettare che il mio erede si spenga lentamente.\nHo trascorso nove mesi viaggiando per il globo. In cerca di una cura. Dalle profondità delle giungle ai luoghi colmi di saggezze d'oriente, senza trovare nulla. Ho continuato a cercare, sempre più a fondo nei luoghi perduti e dimenticati del mondo ed oltre. Ho assistito a molti misteri ed orrori, ma la cura ancora mi sfuggiva.\n\nPiccolo mio, lo sapevo che ormai era troppo tardi.  Tornato a casa, mio figlio se ne era andato da questo mondo senza un padre li con lui a dargli conforto.\n\nRitornai da mia moglie Edith, con l'intenzione di rimanervi.  Eravamo distrutti.  La vita tornò lentamente alla normalità ed io ricominciai a lavorare.  Iniziai nuove attività imprenditoriali e le mie fortune crescevano mentre la mia anima languiva.\n\nIl processo di recupero non fu facile, ma scoprii che aiutare a guarire il cuore di Edith mi facilitava nell'ignorare il mio stesso dolore."""
UIText3.uitext,"Vi era una piccola nota sul retro.\n\n""21 Gennaio, 1919: Come è potuto accadere?  Perchè è accaduto di nuovo? \n\nHai cercato di proteggere te stessa.  Hai cercato di proteggere la tua famiglia, ma non ha avuto importanza.\n\nOh Edith, sei tutto quello che ho.  Come è potuto accadere anche a te?\n\nDevo scavare più a fondo.  Rigirerò pietre che non ho mai osato toccare.  Troverò delle risposte!!"""
UIContinue2.uitext,{qst:CONTINUE}
quest.name,La Caduta della Casata Lynch
quest.description,"Questa è una conversione dell'omonimo scenario della prima edizione di Mansion Of Madness.\n\nSei stato assunto per investigare su Walter Lynch.  Un tempo un grande uomo...ora, purtroppo, divenuto sempre più imprevedibile ed irrequieto.  Quali oscuri orrori ha scoperto?  Sarai in grado di rivelare la verità dietro al mistero, o diventerai nulla più di una semplice pedina in un piano più grande?\n\n Nota che nessuna PROVA ti verrà fornita in questo scenario, così come le condizioni mentali che fanno riferimento alle PROVE non dovrebbero essere utilizzate."
quest.authors,<b>Autore</b>\nFantasy Flight Games\n\n<b>Conversione</b>\nBruce\n\n<b>Traduzioni</b>\nGerman: redwolf2\nSpanish: eorahil\nItalian: Shinigamix
EventInvestigators.text,Posiziona gli investigatori come mostrato.  Ogni investigatore guadagna due segnalini indizio.
