.,Spanish
CONTINUE,Continuar
UIText1.uitext,"El despacho está inundado de humo de tabaco. Hay varios ficheros alineados en las paredes, y calzando la pata de un escritorio de madera barata soma un montón de revistas apiladas. Tras el escritorio hay un hombre calvo y rollizo en estado de incontenible nerviosismo.\n\n-Ya iba siendo hora -dice mientras tamborilea con los dedos sobre la mesa-. El tiempo es oro, y lo estamos perdiendo a espuertas. Nuestro socio ha desaparecido, y necesito vuestra ayuda para encontrarlo.\n\nEl hombre os arroja una carpeta de papel manila bastante sucia.\n\n-Su nombre es Walter Lynch. Siempre ha sido el cerebro de esta empresa, y sin él no tardaremos en irnos a pique. Hace mucho que no responde nuestras cartas, y todas nuestras investigaciones han resultado... -hace una pausa, como buscando la palabra adecuada-... infructuosas. Este informe contiene todo lo que sabemos del tema -continúa, señalando a la carpeta con la mirada-. Averiguad qué ha sido de él y traedlo de vuelta. Aquí hay mucho más en juego de lo que imagináis."
UIText2.uitext,"Más tarde, ya en vuestro coche, abrís con cuidado la mugrienta carpeta. En su interior halláis un mapa dibujado con indicaciones para llegar a una mansión situada en las afueras de Arkham, Massachusetts. El dibujo es bastante rudimentario, como si lo hubiese hecho un niño. Además del mapa, encontráis una página arrancada de lo que parece ser un diario.\n\n""8 de junio de 1918. Ha pasado casi un año desde que la enfermedad se llevó a mi hijo. Los médicos estaban desconcertados y no alcanzaban a entender qué era aquello que consumía paulatinamente su carne. Yo siempre he sido un hombre de acción, y me negué a quedarme de brazos cruzados mientras mi único heredero se marchitaba.\n\nPasé nueve meses recorriendo el mundo en busca de una cura. Indagué por todas partes, desde el corazón de las selvas hasta la sabiduría del lejano oriente, mas no hallé nada. Proseguí la búsqueda, adentrándome en parajes cada vez más ignotos y aún más allá.\n\nPresencié numerosos misterios y horrores, pero la cura me eludió constantemente.\n\nPoco podía yo sospechar que ya era demasiado tarde: mi pobre hijo falleció mientras yo exploraba los rincones del mundo. Murió, y su padre no estuvo junto a él para consolarle en sus últimos momentos.\n\nRegresé a casa, junto a mi esposa Edith, con la intención de quedarme en ella para siempre. Lloramos a nuestro hijo. Poco a poco la vida volvió a su cauce y yo me reincorporé al trabajo. Emprendí un nuevo negocio, y mi fortuna aumentó a medida que mi alma languidecía.\n\nNo fue fácil superar la pérdida de mi hijo, pero descubri que consolar a mi pobre Edith me ayudaba a ignorar mi propio dolor."""
UIText3.uitext,"En la otra cara de la página hay una anotación, más breve.\n\n""21 de enero de 1919. ¿Cómo ha podido pasar? ¿Por qué a mí?\n\nIntenté protegerme. Intenté proteger a mi familia, pero no había nada que hacer.\n\nOh, Edith, tú eres todo lo que me queda. ¿Por qué te ha tenido que pasar a tí?\n\nDebo profundizar aún más. No dejaré piedra sin remover, por graves que sean las consecuencias. ¡Debo hallar una respuesta!"""
EventInvestigators.text,Coloca a los investigadores en el espacio indicado. Cada investigador obtiene 2 pistas.
PLACE4EXPLORETOKEN,Coloca 4 fichas de Exploración en los lugares señalados.
EventPrologue3A.text,"Al poner pie en el interior de la residencia vacía, advertís un leve olor a comida quemada. ¿Se habrán dejado el fogón encendido?"
quest.name,La Caída de la Casa Lynch
quest.description,Conversión del escenario de la primera edición de Las Mansiones de la Locura.
EventGetElderSign3A.text,Ganas el Objeto común {ffg:COMMON_ITEM_ELDER_SIGN_PENDANT}.
EventGetExtinguisher.text,Ganas el Objeto común {ffg:COMMON_ITEM_FIRE_EXTINGUISHER} y 1 Pista.
EventGetShotgun3A.text,Ganas el Objeto común {ffg:COMMON_ITEM_SHOTGUN}.
EventClue3B.text,"<i>Sobre la mesa de operaciones yace el cuerpo ensangrentado de un hombre. A su alrededor hay dispuesto instrumental quirúrgico oxidado y herramientas rudimentarias.\n\n-Dios mío... quería mi piel, quería mi carne... yo sólo buscaba un sitio donde pasar la noche... -masculla, entregándote una llavecita antes de exhalar su último suspiro.</i>\n\nGanas el Objeto Único: {ffg:UNIQUE_ITEM_SILVER_KEY}"
EventClue2B.text,"<i>Se te nubla la vista y te desplomas, asaltado por una repentina visión. En ella, un hombre silba una alegre melodía mientras arrastra el cuerpo inerte de una mujer por el suelo. Te estremeces cuando saca el cadáver al exterior, bajo una intensa lluvia, y lo pasa sobre un charco fangoso. La visión termina con la imagen de una pala descendiendo a toda velocidad hacia su cabeza.</i>\n\nGanas el Objeto Único: {ffg:UNIQUE_ITEM_CULT_SIGIL}"
EventClue3A.text,"<i>La habitación está vacía, a excepción de la silueta cenicienta de un ser humano sobre la mesa de la cocina.\n\nAl examinarla más de cerca, encuentras una sencilla llave de plata entre el hollín.\n\nLuego descubres un rastro de huellas ennegrecidas que suben por la escalera del vestíbulo y se adentran pasillo abajo.</i>\n\nGanas el Objeto Único: {ffg:UNIQUE_ITEM_SILVER_KEY}"
EventGetLantern.text,Ganas el Objeto común {ffg:COMMON_ITEM_KEROSENE_LANTERN}.
EventClue2A.text,"<i>Encuentras una anotación de un diario fechada el 5 de julio de 1918.\n""El estado de mi mujer empeora por momentos. Sé que es sólo cuestión de tiempo, y le he preparado un lugar de descanso en las profundidades de la mansión, junto a los demás cuerpos.""</i>\n\nGanas el Objeto Único: {ffg:UNIQUE_ITEM_CULT_SIGIL}"
EventGetItem5.text,Ganas el Objeto común {ffg:COMMON_ITEM_KEROSENE_LANTERN}.
EventGetAxe.text,Ganas el Objeto común {ffg:COMMON_ITEM_AXE}.
EventGetItem4.text,Ganas el Objeto común {ffg:COMMON_ITEM_AXE}.
EventGetHeal.text,Ganas el Hechizo {ffg:SPELL_FLESH_WARD}.
EventGetItem2.text,Ganas el Objeto común {ffg:COMMON_ITEM_WHISKEY}.
EventGetItem1.text,Ganas el Objeto común {ffg:COMMON_ITEM_SEDATIVES}.
ACTIONSEARCH,{action} Búsqueda
ACTIONEXPLORE,{action} Explorar
FORFEIT,Abandonar
NO,No
PLACE1BARRICADE,Coloca una ficha de Obstrucción en el lugar señalado.
PLACE1EXPLORETOKEN,Coloca una ficha de Exploración en el lugar señalado.
PLACE2EXPLORETOKEN,Coloca 2 fichas de Exploración en los lugares señalados.
PLACE2SEARCHTOKEN,Coloca 2 fichas de Búsqueda en los lugares señalados.
PLACE3SEARCHTOKEN,Coloca 3 fichas de Búsqueda en los lugares señalados.
PLACE1WALLTOKEN,Coloca una ficha de Pared en el lugar señalado.
PLACEWALLTOKEN,Coloca fichas de Pared en los lugares señalados.
THEEND,Fin
UNABLETOATTACK,No puede Atacar
UNLOCK,Abrir
YES,Si
TokenCeremonyBarred.text,<i>Esta puerta lleva a lo más profundo de la casa.</i>
TokenBasement2A.text,<i>En la mesa hay unos extraños viales</i>
TokenBasementDoor2A.text,<i>Al pie de las escaleras hay una puerta.</i>
TokenBasementDoor2ALocked.text,"<i>La puerta que conduce a esta habitación está cerrada, y el mecanismo sólo se abrirá si posees el Emblema adecuado</i>\n\nEsta ficha solo puede ser explorada por un investigador con el {ffg:UNIQUE_ITEM_CULT_SIGIL}."
TokenGuest3A.text,<i>Puede que los cajones contengan algo de interés.</i>
TokenGuestDoor3A.text,<i>Esta puerta conduce a la habitación de invitados.</i>
TokenGuestDoor3BLocked.text,<i>Esta puerta conduce a la habitación de invitados pero está cerrada.</i>\n\nEsta ficha sólo puede ser explorada por un investigador con la {ffg:UNIQUE_ITEM_SILVER_KEY}
TokenStorage3A.text,<i>Una de las cajas tiene unas marcas extrañas.</i>
TokenStorageDoor.text,<i>Esta puerta conduce a la despensa.</i>
TokenMaster3A.text,<i>Puede que los cajones contengan algo de interés.</i>
TokenMaster3B.text,<i>Puedes ver una maleta bajo la silla.</i>
TokenMasterDoor3A.text,<i>Esta puerta lleva al dormitorio principal.</i>
TokenMasterDoor3ALocked.text,<i>Esta puerta lleva al dormitorio principal.</i>\n\nSólo puede ser explorada por un investigador con la {ffg:UNIQUE_ITEM_SILVER_KEY}
TokenKitchen3A.text,<i>Algo siniestro yace sobre la mesa.</i>
TokenKitchen3B.text,<i>La puerta de la alacena de la cocina está entreabierta.</i>
TokenFreezer3A.text,<i>El hielo de la nevera se derrite lentamente y está goteando en el suelo</i>
TokenOperating3A.text,<i>Esta habitación parece haber sido el escenario de hechos siniestros.</i>
TokenGarden2A.text,<i>En la pared hay algo clavado.</i>
TokenGarden2B.text,<i>Aqui la tierra ha sido revuelta.</i>
TokenGardenDoor2A.text,<i>Esta puerta sale al jardín.</i>
TokenGardenDoor2BLocked.text,"<i>La puerta que conduce al jardín está cerrada, y el mecanismo sólo se abrirá si posees el Emblema adecuado</i>\n\nEsta ficha solo puede ser explorada por un investigador con el {ffg:UNIQUE_ITEM_CULT_SIGIL}."
EventNo1E.text,"No has seleccionado Las Mansiones de la Locura Primera Edición en tu colección.\n\nEste escenario no está preparado para la segunda edición, será necesario reemplazar piezas de tablero."
