.,English,Spanish,French,German,Italian,Portuguese,Polish,Japanese,Chinese,Czech
quest.name,The Fall of House Lynch,,,,,,,,,
quest.description,Conversion of the Mansions Of Madness first edition scenario.,,,,,,,,,
TokenCeremonyBarred.text,<i>This door leads further under the house.</i>,,,,,,,,,
TokenCeremonyBarred.button1,{action} Explore,,,,,,,,,
TokenMasterSeal.text,,,,,,,,,,
TokenMasterSeal.button1,Continue,,,,,,,,,
TokenHallSeal.text,,,,,,,,,,
TokenHallSeal.button1,Continue,,,,,,,,,
TokenBarrier.text,,,,,,,,,,
TokenBarrier.button1,Continue,,,,,,,,,
TokenBasement2A.text,<i>Strange vials lie on the bench</i>,,,,,,,,,
TokenBasement2A.button1,{action} Search,,,,,,,,,
TokenBasement2B.text,<i>Strange vials lie on the bench</i>,,,,,,,,,
TokenBasement2B.button1,{action} Search,,,,,,,,,
TokenBasementDoor2A.text,<i>A door lies at the foot of the stairs.</i>,,,,,,,,,
TokenBasementDoor2A.button1,{action} Explore,,,,,,,,,
TokenBasementDoor2ALocked.text,<i>The door leading into this room is sealed with a lock that will only open if you have the correct sigil.</i>\n\nThis token can be explored by an investigator with the Cult Sigil.,,,,,,,,,
TokenBasementDoor2ALocked.button1,{action} Explore,,,,,,,,,
TokenBasementDoor2B.text,<i>A door lies and the foot of the stairs.</i>,,,,,,,,,
TokenBasementDoor2B.button1,{action} Explore,,,,,,,,,
TokenGuest3A.text,<i>The drawers may hold something of interest.</i>,,,,,,,,,
TokenGuest3A.button1,{action} Search,,,,,,,,,
TokenGuest3B.text,<i>The drawers may hold something of interest.</i>,,,,,,,,,
TokenGuest3B.button1,{action} Search,,,,,,,,,
TokenGuestDoor3A.text,<i>This door leads to the guest bedroom.</i>,,,,,,,,,
TokenGuestDoor3A.button1,{action} Explore,,,,,,,,,
TokenGuestDoor3B.text,<i>This door leads to the guest bedroom.</i>,,,,,,,,,
TokenGuestDoor3B.button1,{action} Explore,,,,,,,,,
TokenGuestDoor3BLocked.text,<i>This locked door leads to the guest bedroom</i>\n\nThis token can be explored by an investigator with the Silver Key.,,,,,,,,,
TokenGuestDoor3BLocked.button1,{action} Explore,,,,,,,,,
TokenStorage3A.text,<i>One of the boxes has strange markings.</i>,,,,,,,,,
TokenStorage3A.button1,{action} Search,,,,,,,,,
TokenStorage3B.text,<i>One of the boxes has strange markings.</i>,,,,,,,,,
TokenStorage3B.button1,{action} Search,,,,,,,,,
TokenStorageDoor.text,<i>This door leads to the storage room.</i>,,,,,,,,,
TokenStorageDoor.button1,{action} Explore,,,,,,,,,
TokenMaster3A.text,<i>The drawers may hold something of interest.</i>,,,,,,,,,
TokenMaster3A.button1,{action} Search,,,,,,,,,
TokenMaster3B.text,<i>You notice a suitcase behind the chair.</i>,,,,,,,,,
TokenMaster3B.button1,{action} Search,,,,,,,,,
TokenMasterDoor3A.text,<i>This door leads to the master bedroom.</i>,,,,,,,,,
TokenMasterDoor3A.button1,{action} Explore,,,,,,,,,
TokenMasterDoor3ALocked.text,"<i>This door leads to the master bedroom, it can be explored by an investigator with the silver key.</i>",,,,,,,,,
TokenMasterDoor3ALocked.button1,{action} Explore,,,,,,,,,
TokenMasterDoor3B.text,<i>This door leads to the master bedroom.</i>,,,,,,,,,
TokenMasterDoor3B.button1,{action} Explore,,,,,,,,,
TokenKitchen3A.text,<i>Something sinister lies on the table.</i>,,,,,,,,,
TokenKitchen3A.button1,{action} Search,,,,,,,,,
TokenKitchen3B.text,<i>The kitchen cupboard door has been left ajar.</i>,,,,,,,,,
TokenKitchen3B.button1,{action} Search,,,,,,,,,
TokenFreezer3A.text,<i>Ice from the cool box is slowly melting and dripping on to the floor</i>,,,,,,,,,
TokenFreezer3A.button1,{action} Search,,,,,,,,,
TokenFreezer3B.text,<i>Ice from the cool box is slowly melting and dripping on to the floor</i>,,,,,,,,,
TokenFreezer3B.button1,{action} Search,,,,,,,,,
TokenOperating3A.text,<i>This room appears to have been a venue for dark deeds.</i>,,,,,,,,,
TokenOperating3A.button1,{action} Search,,,,,,,,,
TokenOperating3B.text,<i>This room appears to have been a venue for dark deeds.</i>,,,,,,,,,
TokenOperating3B.button1,{action} Search,,,,,,,,,
TokenGarden2A.text,<i>Something is proped up against the wall</i>,,,,,,,,,
TokenGarden2A.button1,{action} Search,,,,,,,,,
TokenGarden2B.text,<i>The ground has been disturbed here.</i>,,,,,,,,,
TokenGarden2B.button1,{action} Search,,,,,,,,,
TokenGardenDoor2A.text,<i>This door leads out to the garden.</i>,,,,,,,,,
TokenGardenDoor2A.button1,{action} Explore,,,,,,,,,
TokenGardenDoor2B.text,<i>This door leads out to the garden.</i>,,,,,,,,,
TokenGardenDoor2B.button1,{action} Explore,,,,,,,,,
TokenGardenDoor2BLocked.text,<i>The door leading out to the Garden is sealed with a lock that will only open if you have the correct sigil.</i>\n\nThis token can be explored by an investigator with the Cult Sigil.,,,,,,,,,
TokenGardenDoor2BLocked.button1,{action} Explore,,,,,,,,,
EventStart.text,,,,,,,,,,
EventStart.button1,Continue,,,,,,,,,
EventHave1E.text,,,,,,,,,,
EventHave1E.button1,Continue,,,,,,,,,
EventNo1E.text,"You have not selected Mansions of Madness First Edition in the content selection.\n\nThis scenario does not yet have a pure second editon version, substitute tiles will be required.",,,,,,,,,
EventNo1E.button1,Continue,,,,,,,,,
