.,English
ACTIONCONTINUE,Continue {action}
ACTIONEXPLORE,Explore {action}
ACTIONENTER,Enter {action}
ACTIONTRYTOOPEN,Try to open it {action}
BUTTON1,Button1
CANCEL,Cancel
CONTINUE,Continue
EXPLOREROOM,Do you want to explore the room?
FAIL,Fail
FAILCANCEL,Fail/Cancel
NO,No
NOSUCCESS,No Success
PLACE1EXPLORETOKEN,"Place 1 Explore token as indicated."
PLACE1SEARCHTOKEN,"Place 1 Search token as indicated."
PLACE2EXPLORETOKEN,"Place 2 Explore token as indicated."
PLACE1SIGHTTOKEN,"Place 1 Sight token as indicated."
PLACEWALLTOKEN,"Place 1 Wall token as indicated."
SUCCESS,Success
TESTAGILITY,You try to sneak out of the villa unnoticed ({agility}; {0}).
RECEIVEITEM,Take the Normal Item: {0}.
RECEIVESPELL,Take the Spell: {0}.
REMOVE1SIGHTTOKEN,"Remove the Sight token."
REMOVEWALLTOKEN,"Remove the Wall token."
YES,Yes
TokenSearchLobby1.text,"You see some stacks of paper, that are piling up one the table."
quest.name,The Robbery Of The Kadakian Idol
quest.description,"In 1920, the investigators where sent to prison for a crime they didn't commit. They plan to break out. But first, they have to bribe the guards by taking on a mission to get their possessions back."
quest.authors,<b>Autor</b>\nPriscila Gonzaga\n\n<b>Translation</b>\nEnglish: redwolf2\nGerman: redwolf2
EventPapeisLobby.text,"You search through the stacks of paper, that are piling up on the left table ({lore}; 2). If you succeed, you find important leads of Lady Cotington and you get a Clue. If you fail, you crumbled the paper together and threw them in the rubbish bin. Remove the Search token."
EventMito18B.text,"You suddenly stop right before the drawing of a woman, she is naked. Do a {observation}-Test. If you succeed, you noticed, that the woman in the drawing is actually your mother and suffer 1 Horror. If you fail, you pass the drawing, without noticing anything."
EventAddSalaJantar.text,"Place the tile {ffg:TILE_DINING_ROOM_MAD01} as indicated."
EventMitoJardim.text,All seem to be quiet. Nothing happens.
EventLOSE.text,"You all leave the mansion, without the idol. Your client will be furious and will take you in again.\n\nYou lose!"
EventMito23B.text,"You believe to know what's going on here ({lore}; 2). If you succeed, nothing happens. If you fail, you explain the situation to another investigator and give 1 of your Clue to him (Give your Clue to the one with the least)."
EventMito22B.text,"You are bewildered and the world no longer make any sense to you ({observation}; 2). If you succeed, you gather more traces to keep going. If you fail, you loose the golden thread and become Dazed"
EventMito21B.text,"Duke is suddenly chasing a cat. Plate the Item Duke on the marked field."
EventMito19.text,"This event affects the investigator, with the Item: Duke."
EventMito11B.text,"The two investigators have sex with each other and loose all action in this Investigator Phase."
TokenSearchCozinha.text,"You search for something useful and make out something."
EventMito8.text,"This event affects the investigator on the tile {ffg:TILE_LOBBY_MAD20}. You suddenly hear foot steps, where there shouldn't been any. Suffer 1 Horror ({observation} negates)."
EventAddJardim.text,"You arrive at the mansion and decide to go in through the back door, to avoid to get caught. Place the tile {ffg:TILE_YARD_2_MAD20} as indicated. Every investigator gets two Clues. Investigators without items will get two additional Clues."
EventCocoCao2.text,The dog did his business here. The investigator with the normal Item Duke gets Restrained. Remove this Search token.
EventMito25.text,"The Butler is closing by ({agility}; 2). If you succeed, you managed to hide yourself unnoticed. If you fail, you thought it would be the best to hide in the {ffg:TILE_DINING_ROOM_MAD01}, place your investigator on the tile on one field of your choice."
EventMito24.text,Every investigator with two Clues suffers two facedown Horror ({lore} negates).
EventMito23.text,This event affects the investigator with the most Clues.
EventMito20.text,A ghost appears in front of you and tries to communicate. Suffer two Horror ({influence} + 1 negates).
EventMito16.text,"{rnd:hero} is scared to death, as somethings knocks on the door. {rnd:hero} suffers 1 facedown Horror ({will} negates)."
EventMito15.text,Nothing happens
EventMito14.text,"This event affects the investigator with the least {strength}.\nYou feel weak and doubt, that you are up for the job. You ask the investigator with the most {strength} for advice, to get out of your misery. This investigator might help out ({strength}; 2). If he succeeds, you are helped by the thought, that you could rely on him and feel more motivated. If you fail, you are now in total despair and suffer 1 Horror."
EventMito13.text,"Every investigator rolls a dice. If you roll one {success}, you get 1 Clue. If you roll a {clue}, nothing happens. If you fail, you suffer one Horror or one Damage (you choose which)."
EventMito12.text,"This event affects the investigator, that suffered the most damage.\nYou live in fear, that you might die here. Suffer two facedown Horror ({strength} negates)."
EventMito10.text,"{rnd:hero} have to take a piss. But there seem to be no toilet in reach. Get Restrained."
EventStart.text,"To escape the prison, you have to bribe Lieutenant Ramon. This is the only way to get your possessions back. Ramon suggests to steal a valuable idol from the mansion of Lady Cotington."
