.,German
ACTIONCONTINUE,Weiter {action}
ACTIONEXPLORE,Erkunden {action}
ACTIONENTER,Betreten {action}
ACTIONTRYTOOPEN,Öffnungsversuch {action}
BUTTON1,Button1
CANCEL,Abbrechen
CONTINUE,Weiter
EXPLOREROOM,Den Raum erkunden?
FAIL,Versagt
FAILCANCEL,Versagt/Abbrechen
NO,Nein
NOSUCCESS,Kein Erfolg
PLACE1EXPLORETOKEN,"Platziere einen Erkundungsmarker, wie gezeigt."
PLACE1SEARCHTOKEN,"Platziere einen Durchsuchungsmarker, wie gezeigt."
PLACE2EXPLORETOKEN,"Platziere zwei Erkundungsmarker, wie gezeigt."
PLACE1SIGHTTOKEN,"Platziere einen Sichtungsmarker, wie gezeigt."
PLACEWALLTOKEN,"Platziere Wandmarker, wie gezeigt."
SUCCESS,Erfolg
TESTAGILITY,Sie versuchen die Villa heimlich zu verlassen um unbemerkt zu entkommen ({agility}; {0}).
RECEIVEITEM,Erhalte den Gegenstand: {0}.
RECEIVESPELL,Erhalte den Zauber: {0}.
REMOVE1SIGHTTOKEN,"Entferne den Sichtungsmarker."
REMOVEWALLTOKEN,"Entferne die Wandmarker."
YES,Ja
TokenSearchLobby1.text,"Du siehst einige Papiere, welche sich auf dem Tisch türmen."
quest.name,Der Raub des Kadakian Idols
quest.description,"Ihr wurdet zu Unrecht verurteilt und ins Gefängnis gesperrt. Ihr beschließt auszubrechen. Dazu müsst ihr aber zunächst Gefallen für die Wachen erledigen um mit euren eingelagerten Besitz zu entkommen."
quest.authors,<b>Author</b>\nPriscila Gonzaga\n\n<b>Übersetzer</b>\nDeutsch: redwolf2
EventPapeisLobby.text,"Du durchsuchst die Papiere, welche sich auf dem linken Tisch türmen ({lore}; 2). Wenn du es schaffst, findest du wichtige Hinweise zu Lady Cotington und bekommst einen Hinweismarker. Versagst du, gibst du auf, zerknüllst das Papier und wirfst es in den Papierkorb. Entferne danach den Durchsuchungsmarker."
EventMito18B.text,"Du stoppst vor dem Bildnis einer nackten Frau. Führe einen {observation}-Test aus. Bei Erfolg stellst du fest, dass es sich bei der Frau um deine Mutter handelt und du erhältst einen Horror. Versagst du, gehst du weiter, ohne das Bild zu beachten."
EventAddSalaJantar.text,"Platziere das Spielplanteil {ffg:TILE_DINING_ROOM_MAD01}, wie gezeigt."
EventMitoJardim.text,Alles sieht ruhig aus. Nichts passiert.
EventLOSE.text,"Ihr verlasst das Anwesen, ohne das Idol zu stehlen. Eure Auftraggeber nehmen euch wieder in Gewahrsam.\n\nVerloren!"
EventMito23B.text,"Du glaubst mittlerweile zu wissen, was hier vor sich geht ({lore}; 2). Bei Erfolg passiert nichts. Bei Misserfolg erklärst du die Situation einem anderen Ermittler und gibst einen deiner Hinweismarker dem Ermittler mit den Wenigsten."
EventMito22B.text,"Du bist fassungslos und verstehst die Welt nicht mehr ({observation}; 2). Bei Erfolg schaust du dich um, findest neue Anhaltspunkte. Versagst du, fühlst du dich desorientiert und verlierst den roten Faden, werde Benommen."
EventMito21B.text,Duke rennt plötzlich einer Katze hinterher. Platziere den Gegenstand Duke auf dem markierten Spielfeld.
EventMito19.text,Dieses Ereignis betrifft den Ermittler mit dem Gegenstand: Duke.
EventMito11B.text,Die beiden Ermittler haben Sex und verlieren ihre Aktionen für diese Ermittlerphase.
TokenSearchCozinha.text,"Du suchst nach etwas Nützlichem und wirst fündig."
EventMito8.text,"Dieses Ereignis betrifft alles Ermittler auf dem Spielplanteil {ffg:TILE_LOBBY_MAD20}. Du hörst plotzlich Schritte, wo Niemand zu sehen ist. Erhalte einen Horror ({observation} negiert)."
EventAddJardim.text,"Ihr kommt bei der Villa an und beschließt sie über die Hintertür zu betreten, damit ihr nicht bemerkt werdet. Platziere das Spielplanteil {ffg:TILE_YARD_2_MAD20}, wie gezeigt. Jeder Ermittler erhält zwei Hinweismarker. Ermittler ohne Gegenstände erhalten zwei weitere Hinweismarker."
EventCocoCao2.text,Der Hund hat einen Haufen hinterlassen. Der Ermittler mit dem Gegenstand Duke wird Aufgehalten. Entferne danach diesen Durchsuchungsmarker.
EventMito25.text,"Der Butler nähert sich ({agility}; 2). Bist du erfolgreich, hast du es geschafft dich zu verstecken. Versagst du, versteckst du dich lieber in der {ffg:TILE_DINING_ROOM_MAD01}, platziere deinen Ermittler auf einem der Felder."
EventMito24.text,"Jeder Ermittler mit zwei Hinweismarkern erleidet zwei verdeckten Horror ({lore} negiert)."
EventMito23.text,Dieses Ereignis betrifft den Ermittler mit den meisten Hinweismarkern.
EventMito20.text,Ein Geist erscheint und versucht mit dir zu kommunizieren. Erleide zwei Horror ({influence} + 1 negiert).
EventMito16.text,"{rnd:hero} erschreckt sich fürchterlich, als es an der Tür klopft. {rnd:hero} erleidet einen verdeckten Horror ({will} negiert)."
EventMito15.text,Ohne Wirkung
EventMito14.text,"Dieses Ereignis betrifft den Ermittler mit der geringsten {strength}.\nDu fühlst dich schwach und zweifelst daran, dass du der Aufgabe gewachsen bist. Daher fragst du den Ermittler mit der größten {strength} um Rat. Dieser macht einen Test auf ({strength}; 2) . Bei Erfolg glaubst du, dass du dich auf ihn verlassen kannst und bist wieder motiviert. Bei Misserfolg bist du völlig verzweifelt und erleidest einen Horror."
EventMito13.text,"Jeder Ermittler rollt einen Würfel. Ermittler mit einem {success} erhalten einen Hinweismarker. Bei einem {clue} passiert nichts. Bei einem Fehlschlag, erleidet der Ermittler wahlweise einen Horror oder Schaden."
EventMito12.text,"Dieses Ereignis betrifft den Ermittler mit dem größten erlittenen Schaden.\nDu hast Angst das du hier sterben wirst. Erleide zwei verdeckten Horror ({strength} negiert)."
