.,Portuguese
TokenSearchLobby1.text,Você observa alguns papéis na mesinha a esquerda 
TokenSearchLobby1.button1,Continuar {action}
quest.name,O Roubo do Idolo Kadakian
quest.description,"Vocês foram presos injustamente e conseguem fugir da prisão, mas precisam fazer um favor a um guarda para que não sejam presos novamente e consigam reaver seus pertences."
quest.authors,Priscila Gonzaga
EventPapeisLobby.button1,Continuar
EventPapeisLobby.text,"Você observa alguns papéis na mesinha a esquerda, faça um teste de [{lore};2]. Se passar, você consegue identificar que são papéis imporantes sobre a Lady Cotington e obtém 1 pista. Se falhar, você amassa os papéis e os joga no lixo. Remova este marcador de procura"
EventMito18B.text,"Vocês param diante do quadro de uma mulher nua. Faça um teste de {observation}. Se passar, você repara que é a sua mãe, sofra um horror. Se falhar, a mulher não lhe chama atenção e nada acontece."
EventMito18B.button1,Continuar
EventMitoPrincipal.button1,Botão1
EventAddSalaJantar.text,Coloque a peça Sala de jantar {MAD01} e remova este marcador de exploração
EventAddSalaJantar.button1,Continuar
EventMitoJardim.text,Tudo parece tranquilo aqui fora. Sem efeito
EventMitoJardim.button1,Continuar
EventLOSE.text,Vocês saíram sem levar o ídolo! O alferes Ramom ficou muito insatisfeito e prendeu vocês novamente.\n\nVocês perderam!
EventLOSE.button1,Continuar
EventMito23B.text,"Você acha que ja sabe tudo o que estã acontecendo e sente-se confiante. Faça um teste de [{lore};2]. Se passar, nada acontece. Se falhar, você sente-se solidário e dá 1 pista para o jogador com menos pistas"
EventMito23B.button1,Continuar
EventMito22B.text,"Você está perdidinho, sem saber direito o que estã acontecendo. Faça um teste de [{observation};2]. Se passar, você observa atentamente ao seu redor e começa a entender algo, receba uma pista. Se falhar, você se sente desorientado por não saber o que estã acontecendo. Fique atordoado"
EventMito22B.button1,Continuar
EventMito21B.text,Um gato passou correndo e Duke foi atrás. Largue a carta contendo o item único Duke em um espaço adjacente ao que estiver
EventMito21B.button1,Continuar
EventMito19.text,Este evento afeta o jogador com o Duke (cão)
EventMito19.button1,Continuar
EventMito11B.text,Estes investigadores resolveram se pegar e vão passar o próximo turno transando. Ambos perdem suas ações
EventMito11B.button1,Continuar
TokenSearchCozinha.text,Vasculhando os objetos da dispensa você encontra algo 
TokenSearchCozinha.button1,Continuar {action}
EventMito8.text,Este evento afeta os jogares que estão no Lobby. Você ouve passos e fica assutado. Receba 1 horror negado por {observation}
EventMito8.button1,Continuar
EventAddJardim.text,"Ao chegar na mansão, vocês planejam entrar pela porta dos fundos para que não sejam notados. Coloque a peça Jardim  como indicado. Cada investigador ganha 2 pistas. Se houver algum investigador sem item, este investigador ganha mais 2 pistas."
EventAddJardim.button1,Continuar
EventCocoCao2.text,O cachorro cagou aqui. O jogador que estiver com o Duke vai ter que limpar o cocô e não poderá jogar no próximo turno. Remova este marcador de procura
EventCocoCao2.button1,Continuar
EventMito25.text,"O mordomo se aproxima. Faça um teste de [{agility};2]. Quem passar: Você conseguiu se esconder atrás de um móvel e ele não te viu. Quem falhar: Você correu para se esconder na dispensa, coloque sua miniatura lá"
EventMito25.button1,Continuar
EventMito24.text,"Todos os investigadores com, ao menos, 2 pistas recebem 2 horrores voltados para baixo, negados por {lore}"
EventMito24.button1,Continuar
EventMito23.text,Este evento afeta o jogador com mais pistas
EventMito23.button1,Continuar
EventMito20.text,"Um espírito aparece e quer conversar com vocês. Sofra 2 horrores, negados por {influence} + 1"
EventMito20.button1,Continuar
EventMito16.text,"Uma batida na porta dá um susto em {rnd:hero}. {rnd:hero} sofre um horror voltado para baixo, negado por {will}"
EventMito16.button1,Continuar
EventMito15.text,Sem efeito
EventMito15.button1,Continuar
EventMito14.text,"Este evento afeta o jogador com menos {strength}. \nVocê se sente fraco e acha que não terá forças para continuar. Peça para o jogador com maior {strength} fazer um teste [{strength};2]. Se ele passar, você sente que pode contar com ele e isso lhe deixa motivado. Se ele falhar, você se desespera completamente. Receba um horror"
EventMito14.button1,Continuar
EventMito13.text,"Rolem um dado cada. Os investigadores que obtiverem {success} recebem uma pista. Os investigadores que obtiverem {clue}, nada acontece. Os demais recebem 1 dano ou 1 horror"
EventMito12.text,"Este evento afeta o investigador que sofreu mais danos. \n\nVocê está com medo de morrer e começa a se desesperar. Sofra 2 horrores voltados para baixo, negados por {strength}"
EventMito12.button1,Continuar
EventMito10.text,{rnd:hero} está apertad@ para urinar mas não consegue encontrar o banheiro. Receba 1 dano voltado para baixo
EventMito10.button1,Continuar
EventStart.text,"Ao escaparem da prisão, vocês precisam subornar o alferes Ramon para que devolva seus pertences e não os prenda novamente. Para isso, ele propõe que vocês roubem a estátua de um ídolo que se encontra na mansão de Lady Cotington"
EventStart.button1,Continuar
UIFIM.button1,Continuar
TokenSearchSalaoJogos.text,Você observa algo embaixo da mesa {observation}
TokenSearchSalaoJogos.button1,Continuar
EventMito17B.text,"Você ouve vozes e acha que são seus amigos. Faça um teste de [{observation};2]. Se passar, você percebe que não há ninguem, sofra 1 horror. Se falhar, nada acontece"
EventMito17B.button1,Continuar
EventMito19B.text,"Duke surtou e te deu uma mordida! Receba 1 dano e 1 horror, negados por {will}"
EventMito19B.button1,Continuar
EventMito9B.text,"Você sente-se claustrofóbico. Sofra 3 horrores voltados para baixo, negados por {agility}"
EventMito9B.button1,Continuar
EventAddCocoCao.text,Adicione um marcador de procura conforme indicado
EventAddCocoCao.button1,Continuar
