.,German
quest.authors,<b>Autor</b>\nSly Cozz\n\n<b>Übersetzer</b>\nDeutsch: redwolf2
quest.description,"Ein merkwürdiger, neuer Freund entsendet dich auf die Suche nach ""Der Wahrheit""."
quest.name,Die Wahrheit
ACTIONINTERACT,{action} Interagieren
ACTIONEXPLORE,{action} Erkunden
ACTIONSEARCH,{action} Durchsuchen
ATTEMPTPUZZLE,Puzzle Lösen
BUTTON1,Knopf 1
BUTTON2,Knopf 2
CANCEL,Abbrechen
CLOSE,Schließen
COMPLETE,Erledigt
CONFIRM,Bestätigen
CONTINUE,Weiter
FAIL,Versagt
KILLRESTRAINEDMONSTER,Töte gefesseltes Monster
RESTRAINMONSTER,Fessele Monster
SELECTMONSTERTOKILL,Monster zum Töten auswählen
SELECTMONSTERTORESTRAIN,Monster zum Fesseln auswählen
NO,Nein
YES,Ja
YOUMAYMOVE1SPACE,Du darfst dich ein Feld in den erkundeten Raum bewegen.
ActivationCustomAct.ability,"Die Kreatur bewegt sich nicht. Diese Kreatur wird nur angreifen, wenn sich ein Ermittler auf seinem Feld befindet."
ActivationCustomAct.master,"Die verzweifelt, in die Ecke gedrängte Kreatur langt nach dir um seine Klauen in deine Augen zu bohren ({agility}, 2). Bist du erfolgreich, trittst du das Monster zurück, als es auf dich zugestürmt. Versagst du, reift sich das Monster dein Gesicht und steckt eine Klauen tief in deine Augen. Erleide 2 Schaden und werde Benommen."
ActivationCustomAct.move,Das Monster weigert sich herauszukommen.
ActivationCustomAct.movebutton,Das Monster versteckt sich.
ActivationCustomAct2.master,"Die Kreatur sieht sich nach Gegenständen um, welche sie nach dir werfen kann. Dann schleudert sie Glas und schwere Objekte nach dir, in der Hoffnung sich damit vor dir verteidigen zu können ({agility}, 2). Bist du erfolgreich, schaffst du es den Gegenständen auszuweichen, welche auf deine Kopf zurasen. Versagst du, trifft dich eine Glasflasche am Kopf und ihre Splitter bohren sich in dein Gesicht. Erleide 2 Schaden und werde Aufgehalten."
ActivationCustomAct3.master,"Die Kreatur hastet auf dich zu und singt dabei eine seltsame Botschaft ({will}, 2). Bist du erfolgreich, stoßt du das Monster zurück, wodurch es verstummt. Versagst du, schaffst du es nicht das Monster aufzuhalten und es spricht die mystischen Worte ""Einer von uns"" aus. Erleide 2 Schaden und werde Betäubt."
CustomMonsterCustomThrall.monstername,Kreatur
CustomMonsterPriest.monstername,Priester
EventActivation.button1,<i>Das Monster greift an</i>
EventActivation.button2,<i>Das Monster versteckt sich</i>
EventAddDog.text,"Als du dir das Gebüsch näher ansiehst, bemerkst du darin eine Bewegung. Du schreist ""Komm raus!"". Du erschrickst, als aus den Büschen ein Hund hervorspringt. Entferne diesen Durchsuchungsmarker. Platziere den Personenmarker des Hundes, wie gezeigt."
EventAddHallDoors3.text,"Du siehst mehrere Türen, welche an diese Flur anschließen. Platziere Erkundungsmarker, wie gezeigt."
EventAddStairDoors2.text,"Eine Tür befindet sich am äußersten Ende der Treppe, welche tiefer hinein ins Haus führt. Platziere einen Erkundungsmarker, wie gezeigt."
EventAddStairsToken2.text,"Eine kleine Tür zu deine Linken könnte ins nächste Stockwerk führen.\nPlatziere einen Erkundungsmarker, wie gezeigt."
EventAtticLocked.text,Die kleine Tür oberhalb der Treppe scheint verschlossen zu sein.
EventAtticwithKeys.text,"Du glaubst, dass diese Tür in das oberste Stockwerk des Hauses führt. Du kannst den Raum durchsuchen, wenn du den Besonderen Gegenstand {ffg:UNIQUE_ITEM_OLD_KEYS} hast."
EventBalconySight.text,"Du bist von der großartigen Aussicht überwältigt, doch schnell wechselt deine Stimmung zu Angst, als du nach unten guckst. Ein Fall aus dieser Höhe währe wohl tödlich."
EventBandages.text,"Auf dem Schrank siehst du etwas, dass du gebrauchen kannst. Platziere den Gegenstand {ffg:COMMON_ITEM_BANDAGES}, wie gezeigt."
EventBathroomToken.text,Eine kleine Tür scheint in ein kleines Badezimmer zu führen.\nPlatziere einen Erkundungsmarker, wie gezeigt."
EventBeginBadRitual.text,"""Das hast du gut gemacht"", sagt der Hund, ""Du bist nun bereit den letzten Schritt zu gehen, um das Haus zu reinigen."""
EventBreakDoor.text,"Du probierst alles was hier rumliegt aus, um damit die Tür aufzustemmen.({strength}). Du hast bessere Chancen, wenn du über eine Schwere Waffe als Gegenstand verfügst ({strength}+2)."
EventBreakDoorFail.text,"Du hast dein Bestes gegeben, schaffst es aber nicht die Tür auf zu bekommen."
EventBreakDoorPass.text,"Du schaffst es gerade genug Hebelkraft aufzubringen, um das Schloss aufzubrechen."
EventClosetSearch.text,"Die Kreatur ist im Schrank gefangen. Vielleicht kannst du sie überreden herauszukommen. Platziere einen Durchsuchungsmarker, wie gezeigt."
EventDeepOneHybridSelection.text,"Wähle das Monster, welches du aufhalten willst."
EventDogDisapears.text,"Der Hund bellt ""Du hast alles was du brauchst, nun erledige das, wofür du hier her gekommen bist"". Du hebst deine Hände in Abwehrhaltung, aus Angst, dass der Hund dich angreifen könnte. Als du deine Augen wieder öffnest, stellst du fest, dass der Hund nirgendwo zu sehen ist. Erhalte einen Hinweismarker und entferne den Personenmarker des Hundes."
EventDogMad.text,"Der Hund knurrt dich an, als du auf ihn zugehst und sagt: ""Du hast deinen Auftrag nicht durchgezogen. Du musst zurückgehen und deinen Job machen, oder ich muss jemanden finden, der das kann""."
